Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Webchutney,https://angel.co/webchutney,4,Nov '12,New Delhi,Internet Marketing,http://webchutney.com/,201-500,"",""
Thrillophilia,https://angel.co/thrillophilia,4,Oct '12,Bangalore,Travel & Tourism,http://www.thrillophilia.com,11-50,"",230000
Rolocule Games,https://angel.co/rolocule-games,4,Oct '13,Pune,Mobile Games,http://www.rolocule.com,11-50,"",""
SwitchMe Technologies,https://angel.co/switchme-technologies,4,May '13,India,Financial Services,http://switchme.in,11-50,"",""
Sourcebits,https://angel.co/sourcebits,4,Oct '12,San Francisco,User Experience Design,http://www.sourcebits.com,51-200,Series A,10000000
Airwoot,https://angel.co/airwoot,4,Aug '13,New Delhi,Customer Support Tools,http://airwoot.com,1-10,Seed,""
MobiKwik,https://angel.co/mobikwik,4,Sep '12,New Delhi,Mobile Payments,http://www.mobikwik.com,51-200,Seed,250000
Zomato,https://angel.co/zomato,4,Dec '13,New Delhi,Restaurants,http://www.zomato.com/careers,501-1000,"",113800000
FindYogi,https://angel.co/findyogi,4,Jun '13,Bangalore,Comparison Shopping,http://www.findyogi.com,1-10,"",100000
Zumbl,https://angel.co/zumbl,4,Jul '12,Gurgaon,Online Dating,http://zumbl.com,1-10,Acquired,120000
whatfix,https://angel.co/whatfix,4,Jun '13,Bangalore,Self Help,http://whatfix.com/,11-50,Seed,1200000
TravelTriangle,https://angel.co/traveltriangle,4,Oct '13,New Delhi,Personalization,http://traveltriangle.com,51-200,Seed,1900000
PlayCez,https://angel.co/playcez,4,Sep '11,New Delhi,Content Discovery,http://www.playcez.com,1-10,"",""
InCights Mobile Solutions,https://angel.co/incights-mobile-solutions,4,Aug '13,Hyderabad,Banking,http://www.incights.com/,1-10,Seed,160000
Klip.in,https://angel.co/klip-in,4,May '13,Mumbai,"",http://www.Klip.in,1-10,Seed,100000
Hike,https://angel.co/hike,4,Dec '12,New Delhi,Messaging,http://www.hike.in,"","",""
Cuztomise,https://angel.co/cuztomise,3,Jan '14,Indore,Field Support Services,http://www.cuztomise.com,11-50,"",""
Plustxt,https://angel.co/plustxt,3,Aug '12,Bangalore,Language Learning,http://www.plustxt.com,1-10,"",""
TIMESCAPE,https://angel.co/timescape,3,Feb '13,New York City,Brand Marketing,http://www.timescape.io,1-10,"",100000
Explara,https://angel.co/explara,3,Jul '11,India,Events,http://www.explara.com,1-10,"",""
Travelkhana,https://angel.co/travelkhana,3,May '13,New Delhi,Marketplaces,http://www.travelkhana.com,1-10,"",62500
Cooolio Online ,https://angel.co/cooolio-online,3,Aug '13,Bangalore,Mobile Commerce,http://www.cooolio.com,1-10,"",375000
Greenlight Planet,https://angel.co/greenlight-planet,3,Mar '11,Africa,Ventures for Good,http://www.greenlightplanet.com,201-500,Series B,10000000
TermSheet.io,https://angel.co/termsheet,3,Feb '12,Chennai,Crowd Funding,http://termsheet.io,1-10,"",""
Minjar,https://angel.co/minjar,3,Feb '16,San Francisco,Cloud Infrastructure,http://www.botmetric.com,51-200,"",200000
Curofy,https://angel.co/curofy,3,Oct '14,Gurgaon,Mobile Health,https://www.curofy.com,11-50,"",160000
InstaSafe,https://angel.co/instasafe,3,Oct '12,Bangalore,Cloud Security,http://www.instasafe.com,11-50,"",""
Greymeter,https://angel.co/greymeter,3,Aug '13,New Delhi,College Campuses,http://greymeter.com/,11-50,"",""
GradeStack,https://angel.co/gradestack,3,Dec '12,India,High School Students,http://www.gradestack.com,1-10,"",""
Crude Area,https://angel.co/crude-area-1,3,Aug '13,Mumbai,Gift Exchange,http://www.crudearea.com,1-10,"",""
Musicfellas,https://angel.co/musicfellas,3,Nov '12,New Delhi,Independent Music,http://www.musicfellas.com,1-10,Seed,20000
Zaya Learning Labs,https://angel.co/zaya-learning-labs,3,Apr '12,Mumbai,K-12 Education,http://www.zaya.in,11-50,"",600000
Pugmarks.me,https://angel.co/pugmarks-me,3,Mar '11,Bangalore,Social Search,http://pugmarks.me,1-10,"",""
StoreMonk,https://angel.co/storemonk,3,Feb '13,New Delhi,Bridging Online and Offline,http://bit.ly/19J9UcC,1-10,"",""
Todoed,https://angel.co/todoed,3,Jun '14,New Delhi,Social Bookmarking,http://www.todoed.co,1-10,"",""
Hipcask,https://angel.co/hipcask,3,Aug '13,Mumbai,Apps,http://www.hipcask.com,1-10,Seed,50000
Giftery.in,https://angel.co/giftery-in,3,May '13,Mumbai,Gift Card,http://www.giftery.in,1-10,"",""
Raptor Supplies,https://angel.co/raptor-supplies,3,Feb '15,New Delhi,Procurement,http://www.raptorsupplies.com,1-10,Seed,280000
Helpchat,https://angel.co/helpchat,3,Jun '11,Bangalore,Digital Media,http://www.helpchat.in,501-1000,Series B,23200000
Signals ,https://angel.co/signals,3,Aug '12,New Delhi,Mobile Analytics,http://www.getshifu.com,1-10,"",""
91springboard,https://angel.co/91springboard-4,3,Apr '14,New Delhi,Incubators,http://91springboard.com,51-200,"",""
Essmart,https://angel.co/essmart,3,Jan '14,Bangalore,Distribution,http://www.essmart-global.com,11-50,"",""
GuideTrip,https://angel.co/guidetrip,3,Mar '14,New Delhi,Travel & Tourism,http://www.guidetrip.com/,1-10,"",""
Lumos Design Technology,https://angel.co/lumos-design-technology-1,3,Jan '13,Bangalore,Solar,http://www.iwearlumos.com,1-10,"",230000
SD Squared Labs,https://angel.co/sd-squared-labs,3,Mar '13,New Delhi,Cloud Infrastructure,http://www.sd2labs.com,51-200,"",""
intelloCut,https://angel.co/intellocut,3,Mar '13,New Delhi,Manufacturing,http://www.intellocut.com,1-10,"",200000
GradeStack,https://angel.co/gradestack-1,3,Jun '13,New Delhi,Education,http://gradestack.com,1-10,Seed,""
